tns_name,previous_name,repeater_name,event_id,sub_num,ra,ra_err,dec,dec_err,ra_dec_notes,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,exp_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,fluence_notes,fluence_win_extended,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,notes_fitb,intrachan_flag,excluded_flag,sidelobe_flag,citizen_science_flag,catalog1_flag,catalog1_param_flag
FRB20230510B,,FRB20220505A,288976462,3,30.31013057,0.130478277,74.93055828,0.290922039,,127.5157156,12.68348871,276.0537457,168.4580806,229.1649813,110.9182807,,31.17798042,607.3701782,16.62752831,2.858314003,33.68491076,5.849290797,102.625634,605.8990633,0.008128272,494.8711258,452.7532364,0.00196608,0,nan,3.474030842,0.681356468,18.47654841,3.203564676,,1,60074.28887,1.70E-09,60074.28868,2.97E-09,0.002669098,0.000145756,52.6415437,6.522155566,-141.2549603,16.66948566,547.8149414,424.3774414,482.1655273,1407615.979,1418127,0.465698242,,0,0,0,0,0,0
FRB20230510C,,FRB20220505A,288976463,0,30.50317386,0.196633785,74.93772006,0.353018102,,127.5631474,12.7041754,291.8384262,163.7186376,205.9129799,124.9821423,,16.35782623,608.9876709,16.62752831,2.858314003,33.68491076,5.849290797,30.32168474,605.8944297,0.067960788,494.7608436,452.5077264,0.034406403,0,nan,1.076113666,0.279503456,10.44133216,1.955773138,,1,60074.28943,7.80E-09,60074.28924,2.18E-08,0.00177446,0.000141686,32.05570403,6.810709102,-74.89142531,14.08381568,590.6860352,415.9790039,495.690918,1417876.595,1418780,0.465454102,,0,0,0,0,0,0
FRB20230510C,,FRB20220505A,288976463,1,30.50317386,0.196633785,74.93772006,0.353018102,,127.5631474,12.7041754,291.8384262,163.7186376,205.9129799,124.9821423,,16.35782623,608.9876709,16.62752831,2.858314003,33.68491076,5.849290797,30.32168474,605.8944297,0.067960788,494.7608436,452.5077264,0.034406403,0,nan,1.076113666,0.279503456,10.44133216,1.955773138,,1,60074.28943,7.74E-09,60074.28924,2.18E-08,0.001411146,0.000112846,75.05256066,16.20524188,-168.7618636,34.16328517,561.7797852,444.7631836,499.8413086,1417876.595,1418780,0.465454102,,0,0,0,0,0,0
FRB20230510C,,FRB20220505A,288976463,2,30.50317386,0.196633785,74.93772006,0.353018102,,127.5631474,12.7041754,291.8384262,163.7186376,205.9129799,124.9821423,,16.35782623,608.9876709,16.62752831,2.858314003,33.68491076,5.849290797,30.32168474,605.8944297,0.067960788,494.7608436,452.5077264,0.034406403,0,nan,1.076113666,0.279503456,10.44133216,1.955773138,,1,60074.28943,1.12E-08,60074.28924,2.33E-08,0.00645623,0.000704413,186.9183529,39.23256716,-551.3457076,116.2619313,505.7495117,444.4702148,474.1333008,1417876.595,1418780,0.465454102,,0,0,0,0,0,0
FRB20230510D,,,289007650,0,305.3791342,0.198005772,80.18329058,0.227424119,,113.0781717,23.02861811,432.8160297,238.5452955,492.4500909,210.1504258,,17.45791054,772.7592163,4.587385966,1.527961985,8.080452955,2.738770343,28.01837551,773.8985771,0.020359862,711.5097803,711.3259348,0.0049152,0.002659257,0.000265635,0.727875288,0.307725568,3.599080371,1.049002114,,1,60074.54013,1.10E-09,60074.5399,6.20E-09,0.000554879,6.49E-05,-2.491519174,2.269062756,-25.53158337,11.80721739,516.6625977,400.2075195,400.2075195,1873716.971,1874495,0.293762207,,0,0,0,0,0,0
FRB20230510E,,FRB20220912A,289052653,0,347.161958,0.181016151,48.67676796,0.05543973,,105.9859942,-10.78358767,107.0475037,66.77833042,0,0,,20.23524284,220.3839722,0,2.619250367,0,7.148609253,30.53048052,220.468888,0.031222414,95.06862076,98.15229677,0.00393216,0,nan,0.674622516,0.260289961,2.514960405,0.71131925,,1,60074.6635,1.66E-09,60074.66343,9.51E-09,0.001235227,5.02E-05,22.57375386,3.120630171,-131.3671143,16.02629145,497.8149414,400.2075195,436.0961914,1924761.89,1925688,0.274475098,,0,0,0,0,0,0
FRB20230510F,,FRB20220912A,289054138,0,347.330608,0.2010872,48.80152113,0.200596783,,106.1398877,-10.71235372,117.9182924,64.49263478,0,0,,13.74430752,222.4058533,0,2.619250367,0,7.148609253,21.03791347,222.0745371,0.170553811,95.95715526,98.82335283,0.015728641,0,nan,0.517149459,0.226251838,5.552866526,1.235452106,,1,60074.66565,2.09E-08,60074.66558,5.53E-08,0.0052536,0.000370229,16.68922971,2.20178418,-30.01584887,4.22849055,697.0825195,400.6225586,528.4545898,1941937.406,1942374,0.268188477,,0,0,0,0,0,0
FRB20230510G,,FRB20180916B,289115554,0,29.59089063,0.109579434,65.62687056,0.072075481,,129.7689145,3.647403856,210.4834513,94.82190858,0,0,,41.26361847,348.9750061,0,4.490199943,0,10.00352708,84.49283982,349.7949912,0.020729198,150.4150614,26.02695377,0.007864319,0.002632569,0.000347421,2.405689016,0.566694342,18.6693725,3.390052947,,1,60074.77909,2.85E-09,60074.77898,6.84E-09,0.002358024,6.14E-05,19.59140515,0.772877075,-61.02717354,2.203511476,570.5932617,400.2075195,469.8852539,1918554.96,1925687,0.274475098,,0,0,0,0,0,0
FRB20230510H,,FRB20180916B,289115819,0,29.41154848,0.015100361,65.72089029,0.135319217,,129.6732775,3.719436552,241.763023,72.95290336,0,0,,38.97552109,349.7837524,0,4.490199943,0,10.00352708,75.77358359,349.5356075,0.026419128,150.7533555,26.29174115,0.010813438,0,nan,1.561447756,0.444619736,14.61176938,3.623387825,,1,60074.78261,3.25E-09,60074.7825,8.56E-09,0.003352854,0.00012974,54.01878747,3.444649335,-103.0230478,6.352044762,604.0161133,447.9370117,520.1538086,1879452.364,1885183,0.289733887,,0,0,0,0,0,0
FRB20230510H,,FRB20180916B,289115819,1,29.41154848,0.015100361,65.72089029,0.135319217,,129.6732775,3.719436552,241.763023,72.95290336,0,0,,38.97552109,349.7837524,0,4.490199943,0,10.00352708,75.77358359,349.5356075,0.026419128,150.7533555,26.29174115,0.010813438,0,nan,1.561447756,0.444619736,14.61176938,3.623387825,,1,60074.78261,1.95E-09,60074.7825,8.16E-09,0.002174224,7.13E-05,19.13165258,1.371224639,-71.0847883,5.291535855,548.1079102,400.2075195,457.8491211,1879452.364,1885183,0.289733887,,0,0,0,0,0,0
